date,order_no,format,division_name,orderval,rcvval
2020-10-20,196.0,sm,Grocery Food,"6,405.1","6,405.1"
2020-10-25,197.0,sm,Grocery Non Food,"3,231.7","3,231.7"
2020-10-20,198.0,sm,Grocery Food,"1,353.0","1,353.0"
2020-10-19,199.0,sm,Grocery Food,"1,771.6","1,771.6"
2020-10-22,200.0,sm,Grocery Food,538.3,538.3
2020-10-23,201.0,sm,Grocery Food,"1,986.8","1,986.8"
2020-10-22,202.0,sm,Grocery Food,"9,024.3","9,024.3"
2020-10-24,203.0,sm,Grocery Non Food,"5,202.0","5,202.0"
2020-10-20,204.0,sm,Grocery Food,"2,892.9","2,892.9"
2020-10-24,205.0,sm,Grocery Food,986.4,986.4
2020-10-20,206.0,sm,Grocery Non Food,670.4,670.4
2020-10-25,207.0,sm,Grocery Food,"2,574.8","2,574.8"
2020-10-21,208.0,sm,Grocery Food,538.3,538.3
2020-10-19,209.0,sm,Staples,"2,042.2","2,042.2"
2020-10-24,210.0,sm,Grocery Food,"1,537.3","1,537.3"
2020-10-20,211.0,sm,Grocery Non Food,"1,625.8","1,625.8"
2020-10-22,212.0,sm,Grocery Food,"3,001.1","3,001.1"
2020-10-17,213.0,sm,Grocery Food,"1,627.3","1,627.3"
2020-10-23,214.0,sm,Grocery Non Food,"3,828.8","3,828.8"
2020-10-17,215.0,sm,Grocery Food,"4,319.8","4,319.8"
2020-10-21,216.0,sm,Grocery Food,"2,711.9","2,711.9"
2020-10-23,217.0,sm,Grocery Non Food,"1,283.2","1,283.2"
2020-10-24,218.0,sm,Grocery Non Food,"6,519.3","6,519.3"
2020-10-16,219.0,sm,Grocery Food,419.4,419.4
2020-10-17,220.0,sm,Grocery Food,"4,084.6","4,084.6"
2020-10-19,221.0,sm,Grocery Food,"4,582.9","4,582.9"
2020-10-23,222.0,sm,Grocery Food,"4,192.5","4,192.5"
2020-10-20,223.0,sm,Grocery Food,"3,608.3","3,608.3"
2020-10-20,224.0,sm,Grocery Food,"2,013.2","2,013.2"
2020-10-20,225.0,sm,Grocery Food,"2,527.6","2,527.6"
2020-10-21,226.0,sm,Grocery Food,"3,615.2","3,615.2"
2020-10-20,227.0,sm,Staples,"2,544.7","2,544.7"
2020-10-22,228.0,sm,Grocery Food,"1,801.5","1,801.5"
2020-10-20,229.0,sm,Grocery Non Food,"2,926.7","2,926.7"
2020-10-22,230.0,sm,Grocery Food,"6,095.0","6,095.0"
2020-10-18,231.0,sm,Grocery Food,"2,929.4","2,929.4"
2020-10-23,232.0,sm,Grocery Food,"1,532.6","1,532.6"
2020-10-22,233.0,sm,Grocery Food,"1,464.9","1,464.9"
2020-10-22,234.0,sm,Grocery Non Food,"1,736.7","1,736.7"
2020-10-19,235.0,sm,Grocery Food,"15,846.4","15,846.4"
2020-10-19,236.0,sm,Grocery Food,504.0,504.0
2020-10-19,237.0,sm,Grocery Food,"1,438.9","1,438.9"
2020-10-22,238.0,sm,Grocery Non Food,"2,173.1","2,173.1"
2020-10-21,239.0,sm,Grocery Non Food,"9,546.5","4,773.3"
2020-10-15,240.0,sm,Grocery Food,"3,615.2","3,615.2"
2020-10-17,241.0,sm,Grocery Non Food,"4,773.3","4,773.3"
2020-10-20,242.0,sm,Grocery Food,"2,114.3","2,114.3"
2020-10-17,243.0,sm,Grocery Food,419.5,419.5
2020-10-21,244.0,sm,Grocery Food,649.2,649.2
2020-10-16,245.0,sm,Grocery Food,"1,384.1","1,384.1"
2020-10-21,246.0,sm,Grocery Non Food,"2,527.9","2,527.9"
2020-10-20,247.0,sm,Grocery Non Food,"2,838.4","2,838.4"
2020-10-16,248.0,sm,Grocery Food,"2,263.7","2,263.7"
2020-10-20,249.0,sm,Grocery Non Food,"3,880.6","3,880.6"
2020-10-20,250.0,sm,Grocery Food,"4,664.7","4,664.7"
2020-10-21,251.0,sm,Grocery Food,"29,044.6","29,044.6"
2020-10-25,252.0,sm,Grocery Non Food,"2,980.3","2,980.3"
2020-10-23,253.0,sm,Grocery Food,"3,415.4","3,415.4"
2020-10-22,254.0,sm,Grocery Non Food,"1,626.7","1,626.7"
2020-10-25,255.0,sm,Grocery Food,451.5,451.5
2020-10-25,256.0,sm,Grocery Food,"3,121.0","3,121.0"
2020-10-18,257.0,sm,Grocery Non Food,"2,527.7","2,527.7"
2020-10-22,258.0,sm,Grocery Non Food,"4,409.3","4,409.3"
